%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82545.883,300.970,0.955,15.032,107.950,0.592,97.331,99.927,102.436,102.360,102.956,99.308,99.164,99.732,101.207,102.398,104.800,97.898,105.761,102.259,101.547,100.167,-0.016,-0.032,0.418,0.000,535.048,336.269
82541.852,300.967,0.955,15.032,107.950,0.272,97.006,99.480,102.329,102.360,102.956,98.788,99.271,98.445,101.319,103.024,104.905,98.430,104.610,103.515,101.132,99.942,-0.005,-0.052,0.428,0.000,535.048,336.269
82529.758,300.967,0.955,15.034,107.950,0.112,97.873,99.145,102.115,102.569,103.173,98.996,98.415,99.410,99.977,102.085,104.166,97.898,104.295,103.201,101.028,99.265,-0.005,-0.032,0.428,0.001,535.048,336.269
82537.821,300.967,0.955,15.038,108.030,0.272,96.140,99.145,100.724,102.255,102.740,99.100,98.415,99.303,101.319,101.876,104.800,98.537,104.610,102.783,101.339,100.393,-0.016,-0.052,0.438,-0.000,535.048,336.269
82533.789,300.965,0.955,15.050,108.188,0.592,97.439,99.815,102.115,101.628,102.308,98.892,97.987,98.874,100.648,101.772,103.955,98.218,104.505,101.213,101.339,99.942,0.005,-0.032,0.438,-0.000,535.048,336.269
82537.821,300.970,0.955,15.055,108.267,0.112,96.573,98.810,101.473,102.255,101.983,98.372,97.987,98.445,100.441,101.981,104.588,98.005,103.772,102.573,100.197,99.152,0.005,-0.032,0.418,0.000,535.048,336.269
82541.852,300.967,0.955,15.054,108.267,0.432,96.898,98.699,101.152,102.046,102.740,98.372,98.308,98.660,99.994,101.459,103.532,97.579,104.295,102.155,100.924,99.152,-0.005,-0.032,0.438,0.000,535.048,336.269
82533.789,300.967,0.955,15.050,108.188,0.432,96.357,99.480,100.296,102.255,101.875,98.372,97.666,98.982,100.329,100.728,103.744,97.579,103.877,102.155,100.716,99.603,-0.005,-0.013,0.428,0.000,535.048,336.269
82545.883,300.969,0.955,15.060,108.346,0.432,96.249,99.257,101.687,101.523,102.848,98.996,98.629,98.767,100.553,101.667,103.744,97.686,103.981,102.364,100.716,99.716,0.005,-0.052,0.428,0.000,535.048,336.269
82545.883,300.970,0.955,15.054,108.267,0.272,97.006,99.145,101.366,102.360,101.983,98.996,98.201,98.660,100.777,102.085,104.484,98.005,105.029,103.097,100.820,100.167,0.005,-0.013,0.448,-0.000,535.048,336.269
